Point number,Interpreter 1 (Sally),Interpreter 2 (Al),Reference
1,class 1,class 1,class 1
2,class 1,class 1,class 1
3,class 2,class 2,class 2
4,class 2,class 1,class 2
5,class 1,class 4,class 1
6,class 1,class 1,class 1
7,class 2,class 1,class 2
8,class 2,class 2,class 2
9,class 2,class 1,class 1
10,class 1,class 2,class 1
11,class 3,class 3,class 3
12,class 3,class 4,class 3
13,class 3,class 3,class 3
14,class 4,class 4,class 3
15,class 3,class 3,class 3
16,class 3,class 4,class 4
17,class 4,class 4,class 4
18,class 1,class 3,class 4
19,class 3,class 3,class 3
20,class 3,class 2,class 3
